file,year,quarter,avg,median
ir164.csv,2009,1,0.029257806530476195,0.029944073039999998
ir164.csv,2009,2,0.032954943386875005,0.033206103545000004
ir164.csv,2009,3,0.033557353113939384,0.033616777215
ir164.csv,2009,4,0.031083354466406247,0.031543080025
ir164.csv,2010,1,0.031596535294761904,0.032293736540000006
ir164.csv,2010,2,0.02574177715640625,0.025693079849999998
ir164.csv,2010,3,0.02607410640424242,0.026759690985
ir164.csv,2010,4,0.023484139644242428,0.023435153685
ir164.csv,2011,1,0.0247394100196875,0.024749690485000003
ir164.csv,2011,2,0.024285380188750004,0.02423327828
ir164.csv,2011,3,0.0229283505319697,0.023351576389999996
ir164.csv,2011,4,0.02044379545734375,0.02107801477
ir164.csv,2012,1,0.017477534277656248,0.017474175975
ir164.csv,2012,2,0.0151829224190625,0.015210690640000003
ir164.csv,2012,3,0.0139159179840625,0.01392295344
ir164.csv,2012,4,0.014201832886153846,0.014040760190000001
ir164.csv,2013,1,0.016472597383387095,0.01678213531
ir164.csv,2013,2,0.016828627699538464,0.016534006239999996
ir164.csv,2013,3,0.021748957896969696,0.021780809564999996
ir164.csv,2013,4,0.023863505724307694,0.02373295506
ir164.csv,2014,1,0.023147724205555557,0.02329470243
ir164.csv,2014,2,0.020338888114769228,0.02032459692
ir164.csv,2014,3,0.018102515251969698,0.018056148455000004
ir164.csv,2014,4,0.015664147292153846,0.01607788836
ir164.csv,2015,1,0.014844164664603175,0.01508145632
ir164.csv,2015,2,0.01678722042984615,0.017102863350000004
ir164.csv,2015,3,0.018652209595,0.018653125215
ir164.csv,2015,4,0.017038382333999996,0.017122012960000002
ir164.csv,2016,1,0.01387353408625,0.012925241754999999
ir164.csv,2016,2,0.011444632180769231,0.011470305520000001
ir164.csv,2016,3,0.008439940258333334,0.008463623509999999
ir164.csv,2016,4,0.011727761242499999,0.012650970249999999
ir164.csv,2017,1,0.01364191044109375,0.0137845638
ir164.csv,2017,2,0.012322870066153844,0.012406618399999996
ir247.csv,2005,1,-0.0011905547728571432,-0.001170539980000003
ir247.csv,2005,2,-4.110207169230756e-05,8.696841000000594e-05
ir247.csv,2005,3,0.0011398257492424245,0.0007562728449999993
ir247.csv,2005,4,-0.0012981681649999995,-0.0016790026249999986
ir247.csv,2006,1,-0.003992734940312499,-0.003930972100000003
ir247.csv,2006,2,-0.0033002008940625016,-0.003353710840000003
ir247.csv,2006,3,-0.005010797991230769,-0.005255953220000005
ir247.csv,2006,4,-0.007940125134920631,-0.008109952909999996
ir247.csv,2007,1,-0.009197999164531252,-0.008975324455000003
ir247.csv,2007,2,-0.00869175913875,-0.008552966824999994
ir247.csv,2007,3,-0.008884201557692307,-0.009142282539999998
ir247.csv,2007,4,-0.006065933650625001,-0.005958018474999993
ir247.csv,2008,1,-0.0007931337519047621,-0.0006773117600000003
ir247.csv,2008,2,-0.006471981216153846,-0.006432964429999993
ir247.csv,2008,3,-0.006734305077272726,-0.006338963120000006
ir247.csv,2008,4,0.0081625885678125,0.011025582380000003
ir247.csv,2009,1,0.020152273709841267,0.02051123426
ir247.csv,2009,2,0.022187770680156253,0.021583504955
ir247.csv,2009,3,0.024028358037878787,0.023976015635
ir247.csv,2009,4,0.02481532366125,0.024654338485000003
ir247.csv,2010,1,0.02771277014825397,0.027747377749999996
ir247.csv,2010,2,0.02678802322140625,0.026595863190000003
ir247.csv,2010,3,0.026728010797272727,0.02668649588
ir247.csv,2010,4,0.028069178097727274,0.02820542159
ir247.csv,2011,1,0.02590926867890625,0.0257038219
