date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20041217 369 0.04851552091 733 0.04832805276 1097 0.04826334342 1461 0.04846529854 1826 0.04829878304 2558 0.0481327855 3652 0.04802351569 4385 0.04790120181 5478 0.04753538785 7305 0.04680925023 10958 0.04491472685 
20041220 366 0.04861467611 730 0.04837699577 1094 0.04827116765 1463 0.04821601545 1827 0.04808745683 2556 0.04789230939 3654 0.04772605574 4383 0.04760803917 5478 0.04725971017 7305 0.04656659863 10957 0.04467567328 
20041221 365 0.04856229859 729 0.04835044505 1093 0.04825336225 1462 0.04827177561 1826 0.04816368056 2556 0.04799924691 3653 0.04789078665 4383 0.04776971992 5480 0.047445026 7307 0.04674574967 10957 0.04489626356 
20041222 364 0.04807871218 728 0.0477519794 1092 0.04764908717 1461 0.04787024208 1826 0.04778069426 2556 0.04770376497 3652 0.04761189828 4383 0.04752617261 5479 0.04719697942 7306 0.04652407746 10957 0.04475298327 
20041223 363 0.04769622726 727 0.04730077232 1091 0.04726589436 1461 0.04758178652 1826 0.04757788093 2556 0.04757451666 3652 0.047476987 4383 0.04741470458 5478 0.04714919317 7305 0.04651131691 10961 0.04480965922 
20041224 362 0.0476681089 726 0.04732431351 1090 0.04731454554 1461 0.04760074953 1826 0.04757534942 2560 0.04759426438 3652 0.04756716652 4387 0.04750263739 5478 0.04723518354 7305 0.04655138794 10960 0.04485412021 
20041227 359 0.04765424497 723 0.0473150647 1087 0.04730835454 1463 0.04760165338 1828 0.04757607556 2558 0.04759524495 3654 0.04756751732 4385 0.04750319383 5481 0.04723543498 7308 0.04655152814 10959 0.04485418321 
20041228 358 0.04765424497 722 0.0473150647 1086 0.04730835454 1462 0.04760165338 1827 0.04757607556 2557 0.04759524495 3653 0.04756751732 4384 0.04750319383 5480 0.04723543498 7307 0.04655152814 10958 0.04485418321 
20041229 357 0.04802027985 721 0.04792037499 1085 0.04800895607 1461 0.0488151187 1826 0.04893204254 2556 0.0490256001 3652 0.04900848288 4383 0.04893693431 5479 0.04863313091 7306 0.04790732675 10957 0.04613099003 
20041230 356 0.04796651296 720 0.04789460015 1084 0.04803338999 1461 0.04854719235 1826 0.04864703954 2556 0.04868959569 3652 0.0486784705 4383 0.04860933552 5478 0.04829510098 7305 0.04757500522 10956 0.04580894509 
20041231 355 0.04776531046 719 0.04764645627 1083 0.04777072617 1461 0.04821933531 1826 0.04829331244 2555 0.04833823409 3652 0.04829760655 4382 0.04823075742 5478 0.04792570261 7305 0.04724552737 10955 0.04548178161 
20050103 352 0.04775578098 716 0.04764111324 1080 0.04776764629 1463 0.04821940992 1827 0.04829357535 2557 0.04833829102 3654 0.04829764926 4384 0.04823079083 5481 0.04792565946 7308 0.04724539376 10958 0.04548141557 
20050104 351 0.04777640487 715 0.04758739658 1079 0.047698717 1462 0.04803605893 1826 0.04811251082 2556 0.04818826792 3653 0.04817923535 4383 0.04811124425 5480 0.04780568015 7307 0.04712518973 10957 0.04536298282 
20050105 350 0.04790580441 714 0.04769921942 1078 0.04777121649 1461 0.04816252521 1826 0.04823813864 2556 0.04836966147 3652 0.04838660987 4383 0.04831683633 5479 0.04800911387 7306 0.04728931937 10957 0.04552806663 
20050106 349 0.04777434994 713 0.04752203045 1077 0.04755378747 1461 0.04785721658 1826 0.04793473744 2556 0.04806805786 3652 0.04805806808 4383 0.04798957626 5478 0.0476502248 7305 0.04693652293 10959 0.04510214522 
20050107 348 0.04779978457 712 0.0475341076 1076 0.04756180856 1461 0.0478830476 1826 0.0479603234 2558 0.04806439793 3652 0.04805573075 4385 0.04795548372 5478 0.04758477942 7305 0.04683996629 10958 0.04505912787 
20050110 345 0.04764477266 709 0.04733070892 1073 0.047326914 1463 0.04771286294 1827 0.04781690588 2556 0.04797615559 3654 0.0479639424 4383 0.04786283011 5478 0.04749113675 7305 0.0467825165 10957 0.04512097505 
20050111 344 0.04757931784 708 0.04728479418 1072 0.04732175334 1462 0.04774200064 1826 0.04784513664 2556 0.04803209837 3653 0.04804641214 4383 0.04794377418 5480 0.04757046306 7307 0.04689683946 10957 0.04535134718 
20050112 343 0.04755083251 707 0.04722364641 1071 0.04725421597 1461 0.04777379136 1826 0.0479025453 2556 0.0481710727 3652 0.04820932305 4383 0.04813608928 5479 0.04779182025 7306 0.04714672815 10957 0.0455849156 
20050113 342 0.04730715049 706 0.04685033913 1070 0.04685663358 1461 0.04734871995 1826 0.04753302465 2556 0.04780099901 3652 0.04786750608 4383 0.04779378245 5478 0.04748361947 7305 0.0469463602 10959 0.04549441319 
20050114 341 0.04729002011 705 0.0469434736 1069 0.0469853694 1461 0.04744789111 1826 0.04763225237 2558 0.04789989067 3652 0.04799626085 4385 0.04792158813 5478 0.04764412553 7305 0.0471392265 10958 0.04576002829 
20050117 338 0.04719139203 702 0.04676539923 1066 0.04683447041 1463 0.04727269152 1827 0.04748503787 2556 0.04780894038 3654 0.04793096731 4383 0.04785513837 5478 0.04757617156 7305 0.04706980274 10957 0.04564790595 
20050118 337 0.04809879688 701 0.04791947505 1065 0.047915045 1462 0.04825565765 1826 0.04833269865 2556 0.04846544574 3653 0.04848318712 4383 0.04838160697 5480 0.0480089092 7307 0.04740671627 10957 0.04571443895 
20050119 336 0.04817856962 700 0.04810119736 1064 0.04810414568 1461 0.04845612672 1826 0.04853242583 2556 0.04866463568 3652 0.04865083678 4383 0.04851821707 5479 0.04811379886 7306 0.04744323059 10957 0.04576653925 
20050120 335 0.0482724975 699 0.04823516528 1063 0.04828528338 1461 0.04868430412 1826 0.04878671608 2556 0.04894581596 3652 0.04895763983 4383 0.04882294388 5478 0.04838212068 7305 0.04767439256 10959 0.04591460897 
20050121 334 0.04793799479 698 0.04775299699 1062 0.0477821606 1461 0.04829454616 1826 0.0484777168 2558 0.0487731903 3652 0.04886719838 4385 0.04875867345 5478 0.04834493843 7305 0.04773771373 10958 0.04603388688 
20050124 331 0.04792831711 695 0.04774758936 1059 0.0477786943 1463 0.04826787572 1827 0.04847901839 2556 0.0487745042 3654 0.04886770173 4383 0.04875950693 5478 0.04837933634 7305 0.04776875837 10957 0.04606245708 
20050125 330 0.04806389906 694 0.0478506699 1058 0.04784633986 1462 0.04826100378 1826 0.04841892926 2556 0.04866092344 3653 0.04878837232 4383 0.04868108063 5480 0.04830184894 7307 0.04769270152 10957 0.04603108937 
